iter	Passed	Remaining
415	3146	4416
416	3153	4408
417	3161	4401
418	3168	4393
419	3177	4387
420	3185	4381
421	3193	4374
422	3200	4366
423	3209	4360
424	3217	4352
425	3224	4345
426	3232	4337
427	3240	4331
428	3250	4325
429	3258	4319
430	3266	4312
431	3275	4306
432	3284	4300
433	3292	4293
434	3299	4285
435	3307	4278
436	3315	4271
437	3323	4264
438	3331	4257
439	3339	4250
440	3348	4243
441	3357	4239
442	3365	4231
443	3373	4223
444	3380	4215
445	3387	4207
446	3395	4200
447	3402	4192
448	3410	4185
449	3417	4177
450	3425	4170
451	3432	4161
452	3441	4155
453	3448	4147
454	3457	4140
455	3464	4133
456	3472	4125
457	3479	4117
458	3487	4110
459	3495	4103
460	3503	4095
461	3510	4088
462	3517	4079
463	3526	4073
464	3533	4065
465	3542	4058
466	3549	4051
467	3557	4044
468	3564	4035
469	3572	4028
470	3580	4021
471	3588	4014
472	3595	4006
473	3603	3998
474	3610	3990
475	3618	3983
476	3625	3975
477	3632	3967
478	3640	3960
479	3648	3952
480	3656	3945
481	3662	3936
482	3670	3928
483	3676	3920
484	3685	3912
485	3692	3904
486	3698	3896
487	3706	3888
488	3713	3880
489	3720	3872
490	3727	3864
491	3734	3856
492	3743	3849
493	3750	3841
494	3758	3834
495	3766	3827
496	3774	3819
497	3781	3811
498	3788	3803
499	3795	3795
500	3803	3788
501	3810	3779
502	3817	3772
503	3824	3763
504	3838	3762
505	3844	3753
506	3852	3746
507	3859	3737
508	3867	3730
509	3874	3722
510	3882	3715
511	3888	3706
512	3895	3698
513	3902	3690
514	3909	3681
515	3917	3674
516	3923	3665
517	3930	3657
518	3937	3649
519	3944	3640
520	3951	3632
521	3958	3625
522	3965	3617
523	3972	3608
524	3980	3600
525	3987	3592
526	3993	3584
527	4001	3577
528	4009	3569
529	4017	3562
530	4027	3556
531	4036	3551
532	4045	3544
533	4052	3536
534	4059	3528
535	4066	3520
536	4073	3511
537	4080	3503
538	4086	3495
539	4093	3487
540	4100	3479
541	4107	3471
542	4115	3463
543	4121	3455
544	4129	3447
545	4136	3439
546	4144	3432
547	4151	3423
548	4158	3416
549	4165	3408
550	4172	3400
551	4179	3392
552	4186	3383
553	4194	3376
554	4200	3368
555	4208	3360
556	4215	3352
557	4222	3344
558	4229	3336
559	4236	3328
560	4243	3320
561	4251	3313
562	4258	3305
563	4265	3297
564	4271	3289
565	4279	3281
566	4285	3273
567	4293	3265
568	4299	3257
569	4307	3249
570	4313	3241
571	4320	3232
572	4327	3225
573	4334	3216
574	4342	3209
575	4348	3201
576	4356	3193
577	4362	3185
578	4369	3177
579	4377	3169
580	4384	3161
581	4391	3153
582	4398	3145
583	4405	3138
584	4412	3130
585	4420	3122
586	4427	3115
587	4434	3106
588	4441	3099
589	4449	3091
590	4456	3084
591	4463	3076
592	4471	3068
593	4478	3060
594	4484	3052
595	4492	3045
596	4499	3037
597	4506	3029
598	4513	3021
599	4521	3014
600	4528	3006
601	4535	2998
602	4542	2990
603	4549	2982
604	4556	2974
605	4562	2966
606	4570	2959
607	4577	2951
608	4584	2943
609	4591	2935
610	4597	2927
611	4605	2919
612	4611	2911
613	4619	2903
614	4625	2895
615	4633	2888
616	4639	2880
617	4646	2872
618	4654	2864
619	4661	2856
620	4668	2849
621	4675	2841
622	4682	2833
623	4689	2825
624	4696	2817
625	4703	2809
626	4710	2802
627	4718	2794
628	4724	2786
629	4731	2779
630	4738	2771
631	4745	2763
632	4753	2755
633	4759	2747
634	4767	2740
635	4774	2732
636	4787	2728
637	4794	2720
638	4801	2712
639	4807	2704
640	4815	2696
641	4821	2688
642	4829	2681
643	4836	2673
644	4843	2665
645	4850	2658
646	4857	2650
647	4864	2642
648	4871	2634
649	4878	2626
650	4885	2618
651	4891	2610
652	4898	2603
653	4905	2595
654	4912	2587
655	4919	2579
656	4925	2571
657	4932	2563
658	4939	2555
659	4946	2548
660	4953	2540
661	4959	2532
662	4967	2524
663	4974	2517
664	4982	2509
665	4989	2502
666	4996	2494
667	5003	2486
668	5010	2478
669	5017	2471
670	5023	2463
671	5031	2455
672	5038	2447
673	5045	2440
674	5052	2432
675	5059	2425
676	5067	2417
677	5074	2409
678	5081	2402
679	5088	2394
680	5096	2387
681	5103	2379
682	5111	2372
683	5117	2364
684	5125	2357
685	5132	2349
686	5139	2341
687	5146	2333
688	5153	2326
689	5161	2318
690	5168	2311
691	5175	2303
692	5182	2295
