iter	Logloss
0	0.6386117478
1	0.5976988254
2	0.5600126311
3	0.5104676554
4	0.4789624882
5	0.4489306468
6	0.4168270382
7	0.3948047304
8	0.3696962622
9	0.3546612346
10	0.3386040036
11	0.3253574621
12	0.3138926267
13	0.2976503814
14	0.2849760825
15	0.2748597468
16	0.2652353499
17	0.254206967
18	0.2468918642
19	0.2397225138
20	0.2351527144
21	0.2292761878
22	0.2251210909
23	0.2209590175
24	0.2166282693
25	0.2119751304
26	0.2073351328
27	0.2046538944
28	0.201097345
29	0.1965863586
30	0.1941301667
31	0.1909307788
32	0.1873466449
33	0.1838862665
34	0.1815851472
35	0.1788018334
36	0.1770640819
37	0.1759087024
38	0.173483948
39	0.1716705744
40	0.1698310798
41	0.1686933491
42	0.1664403997
43	0.1648072696
44	0.1639248769
45	0.1625042482
46	0.1606451126
47	0.1594746637
48	0.1579376716
49	0.1565691057
50	0.1551691836
51	0.1538288398
52	0.152546107
53	0.1513398748
54	0.1505702833
55	0.1493772224
56	0.1482720215
57	0.1478467984
58	0.1469604439
59	0.1459566879
60	0.1451832101
61	0.1446218808
62	0.1438478431
63	0.1429912148
64	0.1420951198
65	0.1412914444
66	0.1407497892
67	0.1397352351
68	0.1392078436
69	0.1384800916
70	0.1377686419
71	0.136947528
72	0.1365701042
73	0.1361600141
74	0.1356227465
75	0.1349595246
76	0.1344151326
77	0.1338124623
78	0.1330525476
79	0.1325148499
80	0.1319921181
81	0.1316365774
82	0.131455066
83	0.1309953123
84	0.1306063374
85	0.1302348963
86	0.1297201295
87	0.1294345304
88	0.1290191115
89	0.1287009075
90	0.128270263
91	0.1278760641
92	0.1272039409
93	0.1268602489
94	0.1265668764
95	0.1261763973
96	0.1258153191
97	0.1256573394
98	0.1252562413
99	0.1249020191
100	0.1245783442
101	0.1242914227
102	0.1238491802
103	0.1233760525
104	0.123006023
105	0.1225918838
106	0.1222106442
107	0.1219212717
108	0.1216477635
109	0.1212133786
110	0.1209681522
111	0.1204877871
112	0.1199567713
113	0.1197038015
114	0.1193320726
115	0.1188561686
116	0.1186972003
117	0.1184411328
118	0.1181924288
119	0.1177687043
120	0.1175840633
121	0.1172582936
122	0.1168363705
123	0.1165626446
124	0.1161644173
125	0.1159122376
126	0.1156584302
127	0.1155138027
128	0.1153997734
129	0.1151407948
130	0.11475991
131	0.1145427139
132	0.1143672432
133	0.1140740617
134	0.1138128191
135	0.1136100909
136	0.1133546562
137	0.1131979687
138	0.1130503908
139	0.1128179684
140	0.1124358514
141	0.112212689
142	0.1119022977
143	0.1117473488
144	0.1116782809
145	0.1115130196
146	0.1113291586
147	0.1112031916
148	0.1108166788
149	0.1104815834
150	0.1104091446
