iter	Passed	Remaining
409	4534	6524
410	4545	6513
411	4555	6502
412	4566	6490
413	4578	6480
414	4589	6469
415	4600	6457
416	4610	6446
417	4621	6435
418	4632	6424
419	4644	6413
420	4655	6402
421	4666	6391
422	4677	6380
423	4689	6370
424	4699	6357
425	4709	6346
426	4720	6335
427	4732	6324
428	4743	6313
429	4754	6302
430	4765	6290
431	4776	6279
432	4786	6268
433	4797	6256
434	4808	6245
435	4819	6234
436	4830	6223
437	4841	6211
438	4852	6200
439	4862	6188
440	4872	6176
441	4882	6164
442	4893	6152
443	4904	6141
444	4915	6130
445	4925	6118
446	4936	6106
447	4946	6095
448	4956	6083
449	4967	6071
450	4977	6059
451	4988	6047
452	4998	6036
453	5009	6024
454	5020	6013
455	5031	6002
456	5041	5990
457	5052	5979
458	5062	5967
459	5073	5955
460	5084	5944
461	5094	5932
462	5104	5920
463	5115	5909
464	5125	5897
465	5136	5885
466	5146	5873
467	5157	5862
468	5167	5850
469	5177	5838
470	5188	5827
471	5198	5815
472	5208	5803
473	5219	5792
474	5230	5780
475	5240	5769
476	5250	5757
477	5261	5745
478	5271	5733
479	5281	5721
480	5291	5710
481	5301	5697
482	5311	5685
483	5321	5673
484	5331	5661
485	5341	5649
486	5352	5638
487	5362	5626
488	5372	5614
489	5383	5602
490	5393	5590
491	5403	5579
492	5413	5567
493	5424	5556
494	5436	5546
495	5447	5535
496	5458	5523
497	5468	5512
498	5479	5501
499	5489	5489
500	5499	5477
501	5509	5465
502	5519	5453
503	5529	5442
504	5540	5430
505	5550	5419
506	5561	5407
507	5571	5395
508	5581	5384
509	5591	5372
510	5601	5360
511	5612	5349
512	5622	5337
513	5632	5325
514	5642	5314
515	5653	5302
516	5663	5290
517	5673	5279
518	5683	5267
519	5693	5255
520	5704	5244
521	5714	5232
522	5724	5221
523	5734	5209
524	5745	5198
525	5755	5186
526	5766	5175
527	5775	5163
528	5786	5151
529	5796	5140
530	5806	5128
531	5817	5117
532	5827	5106
533	5838	5095
534	5848	5083
535	5858	5071
536	5869	5060
537	5879	5049
538	5890	5037
539	5900	5026
540	5911	5015
541	5921	5003
542	5932	4992
543	5943	4981
544	5953	4970
545	5964	4959
546	5975	4948
547	5986	4937
548	5996	4926
549	6007	4915
550	6018	4904
551	6028	4892
552	6039	4881
553	6049	4870
554	6059	4858
555	6069	4847
556	6080	4835
557	6090	4824
558	6100	4812
559	6110	4801
560	6121	4789
561	6131	4778
562	6141	4766
563	6151	4755
564	6161	4744
565	6172	4732
566	6182	4721
567	6193	4710
568	6204	4699
569	6214	4688
570	6225	4677
571	6235	4665
572	6245	4654
573	6255	4642
574	6266	4631
575	6276	4619
576	6286	4608
577	6296	4597
578	6306	4585
579	6316	4574
580	6327	4562
581	6337	4551
582	6347	4540
583	6357	4528
584	6368	4517
585	6379	4506
586	6389	4495
587	6399	4483
588	6409	4472
589	6420	4461
590	6432	4451
591	6444	4441
592	6455	4430
593	6465	4419
594	6475	4407
595	6485	4396
596	6495	4384
597	6506	4373
598	6515	4361
599	6526	4350
600	6536	4339
601	6546	4327
602	6556	4316
603	6566	4305
604	6577	4294
605	6587	4282
606	6597	4271
607	6609	4261
608	6620	4250
609	6630	4239
610	6642	4228
611	6653	4217
612	6663	4206
613	6673	4195
614	6683	4184
615	6694	4173
616	6704	4161
617	6714	4150
618	6724	4139
619	6734	4127
620	6744	4116
621	6754	4104
622	6764	4093
623	6775	4082
624	6784	4070
625	6794	4059
626	6804	4048
627	6814	4036
628	6826	4026
629	6836	4015
630	6846	4003
631	6856	3992
632	6867	3981
633	6877	3970
634	6887	3959
635	6898	3947
636	6908	3936
637	6918	3925
638	6928	3914
