iter	Logloss
0	0.6377514068
1	0.5922449624
2	0.5526126974
3	0.5135544191
4	0.4775090313
5	0.4454231064
6	0.4175383973
7	0.3938029912
8	0.3667191558
9	0.3436799243
10	0.3219697571
11	0.3079888641
12	0.2913517804
13	0.2797039126
14	0.2665577292
15	0.256200103
16	0.2476275558
17	0.2392023323
18	0.2304791876
19	0.2233947372
20	0.2177470259
21	0.212964462
22	0.2081784764
23	0.2016048112
24	0.1974231907
25	0.194443917
26	0.1893795869
27	0.1839189394
28	0.1776618818
29	0.1746177731
30	0.1706309993
31	0.1666792144
32	0.1642907671
33	0.1612418391
34	0.1591757327
35	0.1568795905
36	0.1550433395
37	0.1537272868
38	0.1515392451
39	0.1487046304
40	0.1468601922
41	0.1452254776
42	0.1428379321
43	0.1407578574
44	0.1389165567
45	0.1372707675
46	0.135075434
47	0.1332908053
48	0.1319802132
49	0.1312501666
50	0.1296987694
51	0.1284343201
52	0.127418401
53	0.1263547106
54	0.1255570763
55	0.1246175747
56	0.1238795685
57	0.1228966679
58	0.1223520351
59	0.121553113
60	0.1211771834
61	0.1202404785
62	0.1190954333
63	0.117982501
64	0.1172240213
65	0.1166392827
66	0.1160090156
67	0.1158053339
68	0.1151816793
69	0.1142355094
70	0.1136540871
71	0.1128006376
72	0.1120547135
73	0.1115887609
74	0.1109067409
75	0.1101792808
76	0.1096449678
77	0.10925471
78	0.1089231644
79	0.1083470629
80	0.1078318039
81	0.1073130456
82	0.1066643673
83	0.1061514728
84	0.1057333999
85	0.105403939
86	0.1049671345
87	0.1046517993
88	0.1042070188
89	0.103763644
90	0.1032177723
91	0.1028486066
92	0.1022261283
93	0.1017927999
94	0.1015150144
95	0.1009574592
96	0.1006854449
97	0.1003113687
98	0.1000141588
99	0.09967093214
100	0.09923017575
101	0.09882194129
102	0.09846352971
103	0.09789546548
104	0.09756822981
105	0.09727853058
106	0.097080968
107	0.09676517377
108	0.09637839641
109	0.09610974358
110	0.09592265237
111	0.09569386668
112	0.09553223578
113	0.09521022351
114	0.09497816181
115	0.09480521767
116	0.094612906
117	0.09428047897
118	0.09405341664
119	0.09370699583
120	0.09335505675
121	0.09304714719
122	0.09285619549
123	0.09268206701
124	0.0924541313
125	0.09226068022
126	0.09206038243
127	0.09190186935
128	0.09178900907
129	0.09138989587
130	0.09121967849
131	0.09098838166
132	0.09085456953
133	0.09053715837
134	0.09044036931
135	0.09018809254
136	0.08981558172
137	0.08952270997
138	0.08935822395
139	0.08921166623
140	0.08905340276
141	0.08886806534
142	0.08850065661
143	0.08825174952
144	0.08805323208
145	0.08776291892
146	0.08761302929
147	0.0874796864
148	0.08719497672
149	0.08710252373
150	0.08683969328
151	0.08664784002
152	0.08648571706
153	0.08631158027
154	0.08619027797
155	0.08609882802
156	0.08600447119
157	0.08580018133
158	0.08573686674
159	0.08545723784
160	0.08532983932
161	0.0851944993
162	0.0850283275
163	0.0849413609
164	0.08477084962
165	0.08462077709
166	0.08451812132
167	0.08426769216
168	0.08410461035
169	0.08398982848
170	0.08380400897
171	0.08360487547
172	0.08343524712
173	0.08329106898
174	0.08304572905
175	0.08291329416
176	0.08284121012
177	0.08269523995
178	0.0826111729
179	0.08250750551
180	0.08223752033
181	0.08215226112
182	0.08188621278
183	0.08170252868
184	0.08159034203
185	0.08145276498
186	0.08138272832
187	0.08121094175
188	0.081127022
189	0.08101806964
190	0.08092582917
191	0.08081163614
192	0.08063495143
193	0.08056588386
194	0.08043926682
195	0.08036819268
196	0.08009401386
197	0.07989018228
198	0.07979699773
199	0.07960788299
200	0.07945623436
201	0.0793781279
202	0.07927240103
203	0.0791448059
204	0.07901908282
205	0.07891215206
206	0.07887606962
207	0.07876054804
208	0.07865573818
209	0.07844893268
210	0.07831952346
211	0.07825737622
212	0.07819495523
213	0.07808857213
214	0.07797526745
215	0.07789462672
216	0.077784401
217	0.07771106555
218	0.07757856282
219	0.07743205569
220	0.07722902441
221	0.07713276159
222	0.0770150099
223	0.07689642555
224	0.07676919353
225	0.07672754943
226	0.07659169583
227	0.07649342129
228	0.07636275918
229	0.07625308826
230	0.07617202762
231	0.07604403943
232	0.0758783494
233	0.07579096729
234	0.07568041975
235	0.07549321555
236	0.07536556251
237	0.07526712961
238	0.07516282945
239	0.07503713076
240	0.07498497597
241	0.07482613362
242	0.07474822012
243	0.07464912783
244	0.07451453348
245	0.0744261421
246	0.07433270075
247	0.0741932445
248	0.0741019058
249	0.07397397228
250	0.07387555738
251	0.07379590941
252	0.07372733389
253	0.07354208659
254	0.07344039209
255	0.07334253955
256	0.07321763958
257	0.07315150639
258	0.07306247331
259	0.07302327344
260	0.07295405404
261	0.07284719803
262	0.07273658593
263	0.07261567165
264	0.07255974094
265	0.07249749195
266	0.0723996235
267	0.07227071364
268	0.07208695562
269	0.07202783938
270	0.07197841471
271	0.07187593932
272	0.07172689294
273	0.07168843861
274	0.07153628469
275	0.0714485877
276	0.07135990791
277	0.07122986729
278	0.07109496568
279	0.07104690958
280	0.07101094603
281	0.07092210512
282	0.07082704756
283	0.07074978532
284	0.07068757107
285	0.07057450604
286	0.07041418237
287	0.07034998656
288	0.07026511816
289	0.07020164385
290	0.07008150259
291	0.07001721871
292	0.06996475353
293	0.06986644286
294	0.06980590719
295	0.06973343284
296	0.0696518132
297	0.06956139344
298	0.0694834856
299	0.06938467332
300	0.06933295251
301	0.06928046815
302	0.06922144017
303	0.0691498289
304	0.06908463756
305	0.06895293007
306	0.06889755696
307	0.06885082402
308	0.06874258846
309	0.06861837513
310	0.06852177532
311	0.06846421592
312	0.06843056778
313	0.06839251873
